case_number,court,case_type.x,filing_date,id,court_system,tracking_number,document_type,issued_date,issued_date_str,case_status,case_disposition,year
1B01555513,Baltimore City District Court 5800 Wabash Ave,CR,2003-09-27,399976,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,036002154042,STATEMENT OF CHARGES,2003-09-27,09/27/2003,CLOSED,FORWARDED TO CIRCUIT COURT,2003
1B01556983,Baltimore City District Court 5800 Wabash Ave,CR,2003-09-19,655462,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,036009105473,STATEMENT OF CHARGES,2003-09-19,09/19/2003,CLOSED,FORWARDED TO CIRCUIT COURT,2003
1B01557452,Baltimore City District Court 1400 North Ave.,CR,2003-09-11,412673,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,036001150942,STATEMENT OF CHARGES,2003-09-11,09/11/2003,CLOSED,FORWARDED TO CIRCUIT COURT,2003
1B01563066,Baltimore City District Court 1400 North Ave.,CR,2003-09-27,418568,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,036000146906,STATEMENT OF CHARGES,2003-09-27,09/27/2003,CLOSED,FORWARDED TO CIRCUIT COURT,2003
1B01563500,Baltimore City District Court 300 East Madison,CR,2003-09-30,402002,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,036001155455,STATEMENT OF CHARGES,2003-09-30,09/30/2003,CLOSED,TRIAL,2003
1B01563640,Baltimore City District Court 1400 North Ave.,CR,2003-10-01,403418,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,036007132044,STATEMENT OF CHARGES,2003-10-01,10/01/2003,CLOSED,TRIAL,2003
1B01564382,Baltimore City District Court 5800 Wabash Ave,CR,2003-11-08,406974,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,036006126225,STATEMENT OF CHARGES,2003-11-08,11/08/2003,CLOSED,TRIAL,2003
1B01564809,Baltimore City District Court 1400 North Ave.,CR,2003-10-07,739910,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,036005140054,STATEMENT OF CHARGES,2003-10-07,10/07/2003,CLOSED,FORWARDED TO CIRCUIT COURT,2003
1B01565411,Baltimore City District Court 1400 North Ave.,CR,2003-10-14,404442,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,036000150756,STATEMENT OF CHARGES,2003-10-14,10/14/2003,CLOSED,FORWARDED TO CIRCUIT COURT,2003
1B01565488,Baltimore City District Court 5800 Wabash Ave,CR,2003-10-19,401948,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,036000151832,STATEMENT OF CHARGES,2003-10-19,10/19/2003,CLOSED,FORWARDED TO CIRCUIT COURT,2003
1B01565572,Baltimore City District Court 1400 North Ave.,CR,2003-10-17,740276,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,036000151434,STATEMENT OF CHARGES,2003-10-17,10/17/2003,CLOSED,TRIAL,2003
1B01565593,Baltimore City District Court 700 Patapsco Ave.,CR,2003-10-19,740269,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,036007134741,STATEMENT OF CHARGES,2003-10-19,10/19/2003,CLOSED,TRIAL,2003
1B01565733,Baltimore City District Court 1400 North Ave.,CR,2003-10-16,404440,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,036017105375,STATEMENT OF CHARGES,2003-10-16,10/16/2003,CLOSED,FORWARDED TO CIRCUIT COURT,2003
1B01565985,Baltimore City District Court 1400 North Ave.,CR,2003-10-16,416191,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,036003148031,STATEMENT OF CHARGES,2003-10-16,10/16/2003,CLOSED,FORWARDED TO CIRCUIT COURT,2003
1B01566069,Baltimore City District Court 700 Patapsco Ave.,CR,2003-10-28,406054,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,036006124836,STATEMENT OF CHARGES,2003-10-28,10/28/2003,CLOSED,TRIAL,2003
1B01568554,Baltimore City District Court 1400 North Ave.,CR,2003-11-04,740423,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,036003151365,STATEMENT OF CHARGES,2003-11-04,11/04/2003,CLOSED,FORWARDED TO CIRCUIT COURT,2003
1B01569401,Baltimore City District Court 700 Patapsco Ave.,CR,2004-05-30,428154,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046001119426,STATEMENT OF CHARGES,2004-05-30,05/30/2004,CLOSED,FORWARDED TO CIRCUIT COURT,2004
1B01569982,Baltimore City District Court 1400 North Ave.,CR,2003-11-03,402023,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,036018104334,STATEMENT OF CHARGES,2003-11-03,11/03/2003,CLOSED,TRIAL,2003
1B01573552,Baltimore City District Court 700 Patapsco Ave.,CR,2004-01-11,411682,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,031001993750,WARRANT,2004-01-11,01/11/2004,CLOSED,FORWARDED TO CIRCUIT COURT,2004
1B01574308,Baltimore City District Court 700 Patapsco Ave.,CR,2003-12-18,407561,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,036006129084,STATEMENT OF CHARGES,2003-12-18,12/18/2003,CLOSED,FORWARDED TO CIRCUIT COURT,2003
1B01576737,Baltimore City District Court 700 Patapsco Ave.,CR,2004-05-16,422514,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046019101671,STATEMENT OF CHARGES,2004-05-16,05/16/2004,CLOSED,TRIAL,2004
1B01576835,Baltimore City District Court 1400 North Ave.,CR,2004-05-15,440095,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046004117865,STATEMENT OF CHARGES,2004-05-15,05/15/2004,CLOSED,FORWARDED TO CIRCUIT COURT,2004
1B01579019,Baltimore City District Court 700 Patapsco Ave.,CR,2003-12-19,741098,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,036004162913,STATEMENT OF CHARGES,2003-12-19,12/19/2003,CLOSED,TRIAL,2003
1B01579054,Baltimore City District Court 700 Patapsco Ave.,CR,2003-12-18,426399,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,036003159124,STATEMENT OF CHARGES,2003-12-18,12/18/2003,CLOSED,TRIAL,2003
1B01579873,Baltimore City District Court 700 Patapsco Ave.,CR,2004-01-01,411869,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046005100013,STATEMENT OF CHARGES,2004-01-01,01/01/2004,CLOSED,JURY TRIAL PRAYED,2004
1B01583331,Baltimore City District Court 1400 North Ave.,CR,2004-02-14,432761,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046002107583,STATEMENT OF CHARGES,2004-02-14,02/14/2004,CLOSED,FORWARDED TO CIRCUIT COURT,2004
1B01583639,Baltimore City District Court 700 Patapsco Ave.,CR,2003-12-20,741088,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,036002168996,STATEMENT OF CHARGES,2003-12-20,12/20/2003,CLOSED,TRIAL,2003
1B01583933,Baltimore City District Court 700 Patapsco Ave.,CR,2003-12-19,741081,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,036001170730,STATEMENT OF CHARGES,2003-12-19,12/19/2003,CLOSED,TRIAL,2003
1B01584262,Baltimore City District Court 1400 North Ave.,CR,2004-01-31,412382,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046063101954,STATEMENT OF CHARGES,2004-01-31,01/31/2004,CLOSED,TRIAL,2004
1B01584297,Baltimore City District Court 700 Patapsco Ave.,CR,2004-01-31,428661,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046062101433,STATEMENT OF CHARGES,2004-01-31,01/31/2004,CLOSED,TRIAL,2004
1B01584969,Baltimore City District Court 700 Patapsco Ave.,CR,2004-04-09,420325,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046001112371,STATEMENT OF CHARGES,2004-04-09,04/09/2004,CLOSED,FORWARDED TO CIRCUIT COURT,2004
1B01585494,Baltimore City District Court 700 Patapsco Ave.,CR,2004-01-24,413562,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046062101083,STATEMENT OF CHARGES,2004-01-24,01/24/2004,CLOSED,FORWARDED TO CIRCUIT COURT,2004
1B01585662,Baltimore City District Court 700 Patapsco Ave.,CR,2004-10-24,666915,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046004141691,STATEMENT OF CHARGES,2004-10-24,10/24/2004,CLOSED,FORWARDED TO CIRCUIT COURT,2004
1B01585802,Baltimore City District Court 5800 Wabash Ave,CR,2005-01-09,472651,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,056076100076,STATEMENT OF CHARGES,2005-01-09,01/09/2005,CLOSED,TRIAL,2005
1B01585956,Baltimore City District Court 700 Patapsco Ave.,CR,2004-10-29,465104,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046012113022,STATEMENT OF CHARGES,2004-10-29,10/29/2004,CLOSED,FORWARDED TO CIRCUIT COURT,2004
1B01586110,Baltimore City District Court 700 Patapsco Ave.,CR,2004-01-11,409845,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046019100190,STATEMENT OF CHARGES,2004-01-11,01/11/2004,CLOSED,JURY TRIAL PRAYED,2004
1B01586523,Baltimore City District Court 1400 North Ave.,CR,2004-01-01,425487,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046006100066,STATEMENT OF CHARGES,2004-01-01,01/01/2004,CLOSED,TRIAL,2004
1B01587111,Baltimore City District Court 700 Patapsco Ave.,CR,2004-01-07,741261,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046000100926,STATEMENT OF CHARGES,2004-01-07,01/07/2004,CLOSED,JURY TRIAL PRAYED,2004
1B01587412,Baltimore City District Court 700 Patapsco Ave.,CR,2004-01-08,428316,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046005100890,STATEMENT OF CHARGES,2004-01-08,01/08/2004,CLOSED,TRIAL,2004
1B01589582,Baltimore City District Court 5800 Wabash Ave,CR,2004-02-22,440836,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046002108913,STATEMENT OF CHARGES,2004-02-22,02/22/2004,CLOSED,FORWARDED TO CIRCUIT COURT,2004
1B01589841,Baltimore City District Court 700 Patapsco Ave.,CR,2004-02-18,414180,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046062102671,STATEMENT OF CHARGES,2004-02-18,02/18/2004,CLOSED,TRIAL,2004
1B01590051,Baltimore City District Court 700 Patapsco Ave.,CR,2004-02-18,414178,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046062102660,STATEMENT OF CHARGES,2004-02-18,02/18/2004,CLOSED,JURY TRIAL PRAYED,2004
1B01590093,Baltimore City District Court 700 Patapsco Ave.,CR,2004-02-18,432224,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046002108143,STATEMENT OF CHARGES,2004-02-18,02/18/2004,CLOSED,JURY TRIAL PRAYED,2004
1B01590254,Baltimore City District Court 1400 North Ave.,CR,2004-03-10,742194,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046005108693,STATEMENT OF CHARGES,2004-03-10,03/10/2004,CLOSED,FORWARDED TO CIRCUIT COURT,2004
1B01590275,Baltimore City District Court 700 Patapsco Ave.,CR,2004-03-09,742316,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046062104314,STATEMENT OF CHARGES,2004-03-09,03/09/2004,CLOSED,JURY TRIAL PRAYED,2004
1B01590653,Baltimore City District Court 1400 North Ave.,CR,2004-01-30,413408,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046007102923,STATEMENT OF CHARGES,2004-01-30,01/30/2004,CLOSED,TRIAL,2004
1B01590751,Baltimore City District Court 700 Patapsco Ave.,CR,2004-01-29,431372,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046004103611,STATEMENT OF CHARGES,2004-01-29,01/29/2004,CLOSED,TRIAL,2004
1B01593712,Baltimore City District Court 700 Patapsco Ave.,CR,2004-02-07,429512,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046006103312,STATEMENT OF CHARGES,2004-02-07,02/07/2004,CLOSED,FORWARDED TO CIRCUIT COURT,2004
1B01594062,Baltimore City District Court 5800 Wabash Ave,CR,2004-02-01,431179,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046009101051,STATEMENT OF CHARGES,2004-02-01,02/01/2004,CLOSED,TRIAL,2004
1B01594286,Baltimore City District Court 5800 Wabash Ave,CR,2004-02-08,416193,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046010101896,STATEMENT OF CHARGES,2004-02-08,02/08/2004,CLOSED,FORWARDED TO CIRCUIT COURT,2004
1B01594370,Baltimore City District Court 5800 Wabash Ave,CR,2004-02-05,437597,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046010101771,STATEMENT OF CHARGES,2004-02-05,02/05/2004,CLOSED,FORWARDED TO CIRCUIT COURT,2004
1B01595574,Baltimore City District Court 5800 Wabash Ave,CR,2004-03-06,417180,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046000106854,STATEMENT OF CHARGES,2004-03-06,03/06/2004,CLOSED,FORWARDED TO CIRCUIT COURT,2004
1B01596246,Baltimore City District Court 700 Patapsco Ave.,CR,2004-02-27,742073,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046018101146,STATEMENT OF CHARGES,2004-02-27,02/27/2004,CLOSED,FORWARDED TO CIRCUIT COURT,2004
1B01596281,Baltimore City District Court 1400 North Ave.,CR,2004-02-28,742052,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046009101725,STATEMENT OF CHARGES,2004-02-28,02/28/2004,CLOSED,FORWARDED TO CIRCUIT COURT,2004
1B01596449,Baltimore City District Court 700 Patapsco Ave.,CR,2004-03-11,742318,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046063104581,STATEMENT OF CHARGES,2004-03-11,03/11/2004,CLOSED,TRIAL,2004
1B01598283,Baltimore City District Court 1400 North Ave.,CR,2004-04-08,423486,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046007109842,STATEMENT OF CHARGES,2004-04-08,04/08/2004,CLOSED,FORWARDED TO CIRCUIT COURT,2004
1B01598339,Baltimore City District Court 1400 North Ave.,CR,2004-04-10,742451,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046009103210,STATEMENT OF CHARGES,2004-04-10,04/10/2004,CLOSED,TRIAL,2004
1B01598493,Baltimore City District Court 5800 Wabash Ave,CR,2004-04-10,742473,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046008102512,STATEMENT OF CHARGES,2004-04-10,04/10/2004,CLOSED,FORWARDED TO CIRCUIT COURT,2004
1B01600509,Baltimore City District Court 700 Patapsco Ave.,CR,2004-04-02,438062,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046064103256,STATEMENT OF CHARGES,2004-04-02,04/02/2004,CLOSED,TRIAL,2004
1B01600530,Baltimore City District Court 5800 Wabash Ave,CR,2004-04-01,421966,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046004113061,STATEMENT OF CHARGES,2004-04-01,04/01/2004,CLOSED,TRIAL,2004
1B01600614,Baltimore City District Court 700 Patapsco Ave.,CR,2004-03-31,421447,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046002114410,STATEMENT OF CHARGES,2004-03-31,03/31/2004,CLOSED,FORWARDED TO CIRCUIT COURT,2004
1B01600831,Baltimore City District Court 700 Patapsco Ave.,CR,2004-03-31,440225,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046001111030,STATEMENT OF CHARGES,2004-03-31,03/31/2004,CLOSED,FORWARDED TO CIRCUIT COURT,2004
1B01602056,Baltimore City District Court 1400 North Ave.,CR,2004-08-12,445721,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046062114490,STATEMENT OF CHARGES,2004-08-12,08/12/2004,CLOSED,FORWARDED TO CIRCUIT COURT,2004
1B01602518,Baltimore City District Court 700 Patapsco Ave.,CR,2004-06-16,742644,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046006110625,STATEMENT OF CHARGES,2004-06-16,06/16/2004,CLOSED,TRIAL,2004
1B01604877,Baltimore City District Court 700 Patapsco Ave.,CR,2004-03-26,742931,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046064102792,STATEMENT OF CHARGES,2004-03-26,03/26/2004,CLOSED,JURY TRIAL PRAYED,2004
1B01608678,Baltimore City District Court 5800 Wabash Ave,CR,2004-04-10,743020,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046009103221,STATEMENT OF CHARGES,2004-04-10,04/10/2004,CLOSED,FORWARDED TO CIRCUIT COURT,2004
1B01616686,Baltimore City District Court 700 Patapsco Ave.,CR,2004-05-29,441220,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046018104311,STATEMENT OF CHARGES,2004-05-29,05/29/2004,CLOSED,FORWARDED TO CIRCUIT COURT,2004
1B01617477,Baltimore City District Court 1400 North Ave.,CR,2004-07-22,1642177,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046061112230,STATEMENT OF CHARGES,2004-07-22,07/22/2004,CLOSED,JURY TRIAL PRAYED,2004
1B01620326,Baltimore City District Court 1400 North Ave.,CR,2004-10-08,664861,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046002145663,STATEMENT OF CHARGES,2004-10-08,10/08/2004,CLOSED,FORWARDED TO CIRCUIT COURT,2004
1B01620333,Baltimore City District Court 1400 North Ave.,CR,2004-10-08,664760,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046005124664,STATEMENT OF CHARGES,2004-10-08,10/08/2004,CLOSED,FORWARDED TO CIRCUIT COURT,2004
1B01620963,Baltimore City District Court 700 Patapsco Ave.,CR,2004-08-01,744399,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046019104412,STATEMENT OF CHARGES,2004-08-01,08/01/2004,CLOSED,FORWARDED TO CIRCUIT COURT,2004
1B01621089,Baltimore City District Court 5800 Wabash Ave,CR,2004-07-28,451401,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046018107962,STATEMENT OF CHARGES,2004-07-28,07/28/2004,CLOSED,FORWARDED TO CIRCUIT COURT,2004
1B01621222,Baltimore City District Court 5800 Wabash Ave,CR,2004-07-31,744407,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046008107515,STATEMENT OF CHARGES,2004-07-31,07/31/2004,CLOSED,TRIAL,2004
1B01621243,Baltimore City District Court 5800 Wabash Ave,CR,2004-07-31,744429,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046008107493,STATEMENT OF CHARGES,2004-07-31,07/31/2004,CLOSED,JURY TRIAL PRAYED,2004
1B01623770,Baltimore City District Court 700 Patapsco Ave.,CR,2004-06-18,743938,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046062111270,STATEMENT OF CHARGES,2004-06-18,06/18/2004,CLOSED,JURY TRIAL PRAYED,2004
1B01623910,Baltimore City District Court 1400 North Ave.,CR,2004-06-17,444378,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046062111200,STATEMENT OF CHARGES,2004-06-17,06/17/2004,CLOSED,TRIAL,2004
1B01624204,Baltimore City District Court 700 Patapsco Ave.,CR,2004-06-23,452083,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046018105980,STATEMENT OF CHARGES,2004-06-23,06/23/2004,CLOSED,FORWARDED TO CIRCUIT COURT,2004
1B01624659,Baltimore City District Court 700 Patapsco Ave.,CR,2004-07-09,440062,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046019103653,STATEMENT OF CHARGES,2004-07-09,07/09/2004,CLOSED,FORWARDED TO CIRCUIT COURT,2004
1B01629034,Baltimore City District Court 700 Patapsco Ave.,CR,2004-07-18,449820,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046003131215,STATEMENT OF CHARGES,2004-07-18,07/18/2004,CLOSED,JURY TRIAL PRAYED,2004
1B01629230,Baltimore City District Court 1400 North Ave.,CR,2004-07-16,743983,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046007122125,STATEMENT OF CHARGES,2004-07-16,07/16/2004,CLOSED,TRIAL,2004
1B01629377,Baltimore City District Court 1400 North Ave.,CR,2004-07-19,428812,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046008106620,STATEMENT OF CHARGES,2004-07-19,07/19/2004,CLOSED,FORWARDED TO CIRCUIT COURT,2004
1B01629524,Baltimore City District Court 1400 North Ave.,CR,2004-07-25,1642188,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046062113495,STATEMENT OF CHARGES,2004-07-25,07/25/2004,CLOSED,FORWARDED TO CIRCUIT COURT,2004
1B01632849,Baltimore City District Court 5800 Wabash Ave,CR,2004-07-23,1642169,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046060107413,STATEMENT OF CHARGES,2004-07-23,07/23/2004,CLOSED,TRIAL,2004
1B01633850,Baltimore City District Court 1400 North Ave.,CR,2004-09-13,438798,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046004136161,STATEMENT OF CHARGES,2004-09-13,09/13/2004,CLOSED,TRIAL,2004
1B01634249,Baltimore City District Court 1400 North Ave.,CR,2004-09-17,662257,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046015113561,STATEMENT OF CHARGES,2004-09-17,09/17/2004,CLOSED,FORWARDED TO CIRCUIT COURT,2004
1B01636937,Baltimore City District Court 5800 Wabash Ave,CR,2004-09-30,442882,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046052110753,STATEMENT OF CHARGES,2004-09-30,09/30/2004,CLOSED,FORWARDED TO CIRCUIT COURT,2004
1B01637245,Baltimore City District Court 1400 North Ave.,CR,2005-01-02,452315,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,056059100053,STATEMENT OF CHARGES,2005-01-02,01/02/2005,CLOSED,FORWARDED TO CIRCUIT COURT,2005
1B01637329,Baltimore City District Court 1400 North Ave.,CR,2005-01-20,458368,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,056003102326,STATEMENT OF CHARGES,2005-01-20,01/20/2005,CLOSED,FORWARDED TO CIRCUIT COURT,2005
1B01638043,Baltimore City District Court 5800 Wabash Ave,CR,2004-08-06,440549,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046007124413,STATEMENT OF CHARGES,2004-08-06,08/06/2004,CLOSED,FORWARDED TO CIRCUIT COURT,2004
1B01638099,Baltimore City District Court 700 Patapsco Ave.,CR,2004-08-18,435733,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046063117634,STATEMENT OF CHARGES,2004-08-18,08/18/2004,CLOSED,TRIAL,2004
1B01638246,Baltimore City District Court 700 Patapsco Ave.,CR,2004-08-13,453646,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046004131246,STATEMENT OF CHARGES,2004-08-13,08/13/2004,CLOSED,JURY TRIAL PRAYED,2004
1B01640318,Baltimore City District Court 700 Patapsco Ave.,CR,2004-09-18,662628,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046063120250,STATEMENT OF CHARGES,2004-09-18,09/18/2004,CLOSED,JURY TRIAL PRAYED,2004
1B01642726,Baltimore City District Court 1400 North Ave.,CR,2004-09-17,441113,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046059105654,STATEMENT OF CHARGES,2004-09-17,09/17/2004,CLOSED,TRIAL,2004
1B01643363,Baltimore City District Court 5800 Wabash Ave,CR,2004-09-26,442916,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046075213811,STATEMENT OF CHARGES,2004-09-26,09/26/2004,CLOSED,FORWARDED TO CIRCUIT COURT,2004
1B01644938,Baltimore City District Court 700 Patapsco Ave.,CR,2004-09-13,460547,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046004136183,STATEMENT OF CHARGES,2004-09-13,09/13/2004,CLOSED,TRIAL,2004
1B01653002,Baltimore City District Court 300 East Madison,CR,2004-10-28,442748,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046003149905,STATEMENT OF CHARGES,2004-10-28,10/28/2004,CLOSED,TRIAL,2004
1B01654276,Baltimore City District Court 1400 North Ave.,CR,2004-11-05,449149,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046004143496,STATEMENT OF CHARGES,2004-11-05,11/05/2004,CLOSED,FORWARDED TO CIRCUIT COURT,2004
1B01656033,Baltimore City District Court 5800 Wabash Ave,CR,2004-11-18,450809,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046006121674,STATEMENT OF CHARGES,2004-11-18,11/18/2004,CLOSED,TRIAL,2004
1B01656341,Baltimore City District Court 700 Patapsco Ave.,CR,2004-11-20,451058,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046062119331,STATEMENT OF CHARGES,2004-11-20,11/20/2004,CLOSED,JURY TRIAL PRAYED,2004
1B01656621,Baltimore City District Court 700 Patapsco Ave.,CR,2004-11-03,449975,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046062118126,STATEMENT OF CHARGES,2004-11-03,11/03/2004,CLOSED,TRIAL,2004
1B01657048,Baltimore City District Court 1400 North Ave.,CR,2004-11-12,443977,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046023130366,STATEMENT OF CHARGES,2004-11-12,11/12/2004,CLOSED,TRIAL,2004
1B01657083,Baltimore City District Court 5800 Wabash Ave,CR,2004-11-10,668620,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046015116545,STATEMENT OF CHARGES,2004-11-10,11/10/2004,CLOSED,TRIAL,2004
1B01658161,Baltimore City District Court 700 Patapsco Ave.,CR,2005-01-17,454462,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,056017100580,STATEMENT OF CHARGES,2005-01-17,01/17/2005,CLOSED,TRIAL,2005
1B01658399,Baltimore City District Court 1400 North Ave.,CR,2005-01-18,453636,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,056004100935,STATEMENT OF CHARGES,2005-01-18,01/18/2005,CLOSED,TRIAL,2005
1B01658644,Baltimore City District Court 700 Patapsco Ave.,CR,2004-11-14,451317,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046017106516,STATEMENT OF CHARGES,2004-11-14,11/14/2004,CLOSED,FORWARDED TO CIRCUIT COURT,2004
