trafficid,chargeid,describe35,describe70,describe100,date_begin,date_end,article,section,subsec,paragraph,code,fine,finetype,mod_date,new_date,last_revised,scrape_date
481,14372,FAILURE OF LIC. VEH. DEALER TO MAIN,FAILURE OF LIC. VEH. DEALER TO MAINTAIN RECORDS OF TEMP. REG. PLATES I,FAILURE OF LIC. VEH. DEALER TO MAINTAIN RECORDS OF TEMP. REG. PLATES ISSUED TO DEALER,2005-10-01,2010-09-30,TA,13,606,b,,60,F,2010-09-30,2005-11-18,2020-05-07,2020-06-03
481,16674,FAILURE OF LIC. VEH. DEALER TO MAIN,FAILURE OF LIC. VEH. DEALER TO MAINTAIN RECORDS OF TEMP. REG. PLATES I,FAILURE OF LIC. VEH. DEALER TO MAINTAIN RECORDS OF TEMP. REG. PLATES ISSUED TO DEALER,2010-10-01,NA,TA,13,606,b,,70,F,2010-09-30,2010-09-30,2020-05-07,2020-06-03
482,2247,FAILURE OF DEALER TO MAINTAIN RECOR,FAILURE OF DEALER TO MAINTAIN RECORDS OF TEMP.REG.PLATES AS REQUIRED B,FAILURE OF DEALER TO MAINTAIN RECORDS OF TEMP.REG.PLATES AS REQUIRED BY ADM.,1991-07-01,1995-09-30,TA,13,606,c,,40,F,1999-06-11,1999-02-23,2020-05-07,2020-06-03
482,2246,FAILURE OF DEALER TO MAINTAIN RECOR,FAILURE OF DEALER TO MAINTAIN RECORDS OF TEMP.REG.PLATES AS REQUIRED B,FAILURE OF DEALER TO MAINTAIN RECORDS OF TEMP.REG.PLATES AS REQUIRED BY ADM.,1995-10-01,1996-09-30,TA,13,606,c,,45,F,1999-06-11,1999-02-23,2020-05-07,2020-06-03
482,2245,FAILURE OF DEALER TO MAINTAIN RECOR,FAILURE OF DEALER TO MAINTAIN RECORDS OF TEMP.REG.PLATES AS REQUIRED B,FAILURE OF DEALER TO MAINTAIN RECORDS OF TEMP.REG.PLATES AS REQUIRED BY ADM.,1996-10-01,2003-06-30,TA,13,606,c,,50,F,2003-10-03,1999-02-23,2020-05-07,2020-06-03
482,12942,FAILURE OF DEALER TO MAINTAIN RECOR,FAILURE OF DEALER TO MAINTAIN RECORDS OF TEMP.REG.PLATES AS REQUIRED B,FAILURE OF DEALER TO MAINTAIN RECORDS OF TEMP.REG.PLATES AS REQUIRED BY ADM.,2003-07-01,2005-09-30,TA,13,606,c,,55,F,2005-11-18,2003-10-03,2020-05-07,2020-06-03
482,14373,FAILURE OF DEALER TO MAINTAIN RECOR,FAILURE OF DEALER TO MAINTAIN RECORDS OF TEMP.REG.PLATES AS REQUIRED B,FAILURE OF DEALER TO MAINTAIN RECORDS OF TEMP.REG.PLATES AS REQUIRED BY ADM.,2005-10-01,2010-09-30,TA,13,606,c,,60,F,2010-09-30,2005-11-18,2020-05-07,2020-06-03
482,16675,FAILURE OF DEALER TO MAINTAIN RECOR,FAILURE OF DEALER TO MAINTAIN RECORDS OF TEMP.REG.PLATES AS REQUIRED B,FAILURE OF DEALER TO MAINTAIN RECORDS OF TEMP.REG.PLATES AS REQUIRED BY ADM.,2010-10-01,NA,TA,13,606,c,,70,F,2010-09-30,2010-09-30,2020-05-07,2020-06-03
483,20074,MISLEADING/FALSE INFO. TEMP. REG. P,MISLEADING/FALSE INFO. TEMP. REG. PLATES/ ISSUANCE/UNAUTHORIZED USE,MISLEADING/FALSE INFO. TEMP. REG. PLATES/ ISSUANCE/UNAUTHORIZED USE,NA,1986-07-01,TA,13,607,,,0,R,2018-06-28,2018-06-28,2020-05-07,2020-06-03
483,2249,MISLEADING/FALSE INFO. TEMP. REG. P,MISLEADING/FALSE INFO. TEMP. REG. PLATES/ ISSUANCE/UNAUTHORIZED USE,MISLEADING/FALSE INFO. TEMP. REG. PLATES/ ISSUANCE/UNAUTHORIZED USE,1981-07-01,1985-06-30,TA,13,607,,,0,A,1999-06-11,1998-11-10,2020-05-07,2020-06-03
483,2248,MISLEADING/FALSE INFO. TEMP. REG. P,MISLEADING/FALSE INFO. TEMP. REG. PLATES/ ISSUANCE/UNAUTHORIZED USE,MISLEADING/FALSE INFO. TEMP. REG. PLATES/ ISSUANCE/UNAUTHORIZED USE,1985-07-01,1986-06-30,TA,13,607,,,25,F,1999-06-11,1998-11-10,2020-05-07,2020-06-03
484,2252,ISSUANCE BY PERSON OF TEMP. REG. PL,ISSUANCE BY PERSON OF TEMP. REG. PLATE CONTAINING MISSTATEMENT OF FACT,ISSUANCE BY PERSON OF TEMP. REG. PLATE CONTAINING MISSTATEMENT OF FACT,1991-07-01,1995-09-30,TA,13,607,a,,260,F,1999-06-11,1998-11-10,2020-05-07,2020-06-03
484,2251,ISSUANCE BY PERSON OF TEMP. REG. PL,ISSUANCE BY PERSON OF TEMP. REG. PLATE CONTAINING MISSTATEMENT OF FACT,ISSUANCE BY PERSON OF TEMP. REG. PLATE CONTAINING MISSTATEMENT OF FACT,1995-10-01,1996-09-30,TA,13,607,a,,265,F,1999-06-11,1998-11-10,2020-05-07,2020-06-03
484,2250,ISSUANCE BY PERSON OF TEMP. REG. PL,ISSUANCE BY PERSON OF TEMP. REG. PLATE CONTAINING MISSTATEMENT OF FACT,ISSUANCE BY PERSON OF TEMP. REG. PLATE CONTAINING MISSTATEMENT OF FACT,1996-10-01,2003-06-30,TA,13,607,a,,270,F,2003-10-03,1998-11-10,2020-05-07,2020-06-03
484,12943,ISSUANCE BY PERSON OF TEMP. REG. PL,ISSUANCE BY PERSON OF TEMP. REG. PLATE CONTAINING MISSTATEMENT OF FACT,ISSUANCE BY PERSON OF TEMP. REG. PLATE CONTAINING MISSTATEMENT OF FACT,2003-07-01,2005-09-30,TA,13,607,a,,275,F,2005-11-18,2003-10-03,2020-05-07,2020-06-03
484,14374,ISSUANCE BY PERSON OF TEMP. REG. PL,ISSUANCE BY PERSON OF TEMP. REG. PLATE CONTAINING MISSTATEMENT OF FACT,ISSUANCE BY PERSON OF TEMP. REG. PLATE CONTAINING MISSTATEMENT OF FACT,2005-10-01,2010-09-30,TA,13,607,a,,280,F,2010-09-30,2005-11-18,2020-05-07,2020-06-03
484,16676,ISSUANCE BY PERSON OF TEMP. REG. PL,ISSUANCE BY PERSON OF TEMP. REG. PLATE CONTAINING MISSTATEMENT OF FACT,ISSUANCE BY PERSON OF TEMP. REG. PLATE CONTAINING MISSTATEMENT OF FACT,2010-10-01,NA,TA,13,607,a,,290,F,2010-09-30,2010-09-30,2020-05-07,2020-06-03
485,20075,ISSUANCE TEMP. REG. PLATE CONTAININ,ISSUANCE TEMP. REG. PLATE CONTAINING MISSTATEMENT FACT,ISSUANCE TEMP. REG. PLATE CONTAINING MISSTATEMENT FACT,NA,1986-07-01,TA,13,607,a,A,0,R,2018-06-28,2018-06-28,2020-05-07,2020-06-03
485,2253,ISSUANCE TEMP. REG. PLATE CONTAININ,ISSUANCE TEMP. REG. PLATE CONTAINING MISSTATEMENT FACT,ISSUANCE TEMP. REG. PLATE CONTAINING MISSTATEMENT FACT,1985-07-01,1986-06-30,TA,13,607,a,A,250,F,1999-06-11,1998-11-10,2020-05-07,2020-06-03
486,20076,KNOWINGLY INSERTING FALSE INFO. ON,KNOWINGLY INSERTING FALSE INFO. ON FACT TEMP. REG. PLATE,KNOWINGLY INSERTING FALSE INFO. ON FACT TEMP. REG. PLATE,NA,1986-07-01,TA,13,607,a,B,0,R,2018-06-28,2018-06-28,2020-05-07,2020-06-03
486,2254,KNOWINGLY INSERTING FALSE INFO. ON,KNOWINGLY INSERTING FALSE INFO. ON FACT TEMP. REG. PLATE,KNOWINGLY INSERTING FALSE INFO. ON FACT TEMP. REG. PLATE,1985-07-01,1986-06-30,TA,13,607,a,B,250,F,1999-06-11,1998-11-10,2020-05-07,2020-06-03
487,2257,PERSON KNOWINGLY INSERTING FALSE IN,PERSON KNOWINGLY INSERTING FALSE INFORMATION ON TEMP. REG. PLATE,PERSON KNOWINGLY INSERTING FALSE INFORMATION ON TEMP. REG. PLATE,1991-07-01,1995-09-30,TA,13,607,b,,260,F,1999-06-11,1998-11-10,2020-05-07,2020-06-03
487,2256,PERSON KNOWINGLY INSERTING FALSE IN,PERSON KNOWINGLY INSERTING FALSE INFORMATION ON TEMP. REG. PLATE,PERSON KNOWINGLY INSERTING FALSE INFORMATION ON TEMP. REG. PLATE,1995-10-01,1996-09-30,TA,13,607,b,,265,F,1999-06-11,1998-11-10,2020-05-07,2020-06-03
487,2255,PERSON KNOWINGLY INSERTING FALSE IN,PERSON KNOWINGLY INSERTING FALSE INFORMATION ON TEMP. REG. PLATE,PERSON KNOWINGLY INSERTING FALSE INFORMATION ON TEMP. REG. PLATE,1996-10-01,2003-06-30,TA,13,607,b,,270,F,2003-10-03,1998-11-10,2020-05-07,2020-06-03
487,12944,PERSON KNOWINGLY INSERTING FALSE IN,PERSON KNOWINGLY INSERTING FALSE INFORMATION ON TEMP. REG. PLATE,PERSON KNOWINGLY INSERTING FALSE INFORMATION ON TEMP. REG. PLATE,2003-07-01,2005-09-30,TA,13,607,b,,275,F,2005-11-18,2003-10-03,2020-05-07,2020-06-03
487,14375,PERSON KNOWINGLY INSERTING FALSE IN,PERSON KNOWINGLY INSERTING FALSE INFORMATION ON TEMP. REG. PLATE,PERSON KNOWINGLY INSERTING FALSE INFORMATION ON TEMP. REG. PLATE,2005-10-01,2010-09-30,TA,13,607,b,,280,F,2010-09-30,2005-11-18,2020-05-07,2020-06-03
487,16677,PERSON KNOWINGLY INSERTING FALSE IN,PERSON KNOWINGLY INSERTING FALSE INFORMATION ON TEMP. REG. PLATE,PERSON KNOWINGLY INSERTING FALSE INFORMATION ON TEMP. REG. PLATE,2010-10-01,NA,TA,13,607,b,,290,F,2010-09-30,2010-09-30,2020-05-07,2020-06-03
488,20077,ISSUANCE DEALER TEMP. REG. PLATE TO,ISSUANCE DEALER TEMP. REG. PLATE TO PERSON POSSESSING ANNUAL REG. PLAT,ISSUANCE DEALER TEMP. REG. PLATE TO PERSON POSSESSING ANNUAL REG. PLATE FOR SOLD/EXCHANGE VEH,NA,1986-07-01,TA,13,607,b,A,0,R,2018-06-28,2018-06-28,2020-05-07,2020-06-03
488,2258,ISSUANCE DEALER TEMP. REG. PLATE TO,ISSUANCE DEALER TEMP. REG. PLATE TO PERSON POSSESSING ANNUAL REG. PLAT,ISSUANCE DEALER TEMP. REG. PLATE TO PERSON POSSESSING ANNUAL REG. PLATE FOR SOLD/EXCHANGE VEH,1985-07-01,1986-06-30,TA,13,607,b,A,250,F,1999-06-11,1998-11-10,2020-05-07,2020-06-03
489,20078,LENDING BY DEALER TEMP. REG. PLATE,LENDING BY DEALER TEMP. REG. PLATE,LENDING BY DEALER TEMP. REG. PLATE,NA,1986-07-01,TA,13,607,b,B,0,R,2018-06-28,2018-06-28,2020-05-07,2020-06-03
489,2259,LENDING BY DEALER TEMP. REG. PLATE,LENDING BY DEALER TEMP. REG. PLATE,LENDING BY DEALER TEMP. REG. PLATE,1985-07-01,1986-06-30,TA,13,607,b,B,250,F,1999-06-11,1998-11-10,2020-05-07,2020-06-03
490,20079,USE TEMP. REG. PLATE ON VEH. OWNED,USE TEMP. REG. PLATE ON VEH. OWNED BY DEALER,USE TEMP. REG. PLATE ON VEH. OWNED BY DEALER,NA,1986-07-01,TA,13,607,b,C,0,R,2018-06-28,2018-06-28,2020-05-07,2020-06-03
490,2260,USE TEMP. REG. PLATE ON VEH. OWNED,USE TEMP. REG. PLATE ON VEH. OWNED BY DEALER,USE TEMP. REG. PLATE ON VEH. OWNED BY DEALER,1985-07-01,1986-06-30,TA,13,607,b,C,250,F,1999-06-11,1998-11-10,2020-05-07,2020-06-03
491,20080,ISSUING/ASSIGNING/TRANSFERRING/DELI,ISSUING/ASSIGNING/TRANSFERRING/DELIVERING TEMP. REG. PLATE FOR UNAUTHO,ISSUING/ASSIGNING/TRANSFERRING/DELIVERING TEMP. REG. PLATE FOR UNAUTHORIZED REASON,NA,1986-07-01,TA,13,607,b,D,0,R,2018-06-28,2018-06-28,2020-05-07,2020-06-03
491,2261,ISSUING/ASSIGNING/TRANSFERRING/DELI,ISSUING/ASSIGNING/TRANSFERRING/DELIVERING TEMP. REG. PLATE FOR UNAUTHO,ISSUING/ASSIGNING/TRANSFERRING/DELIVERING TEMP. REG. PLATE FOR UNAUTHORIZED REASON,1985-07-01,1986-06-30,TA,13,607,b,D,250,F,1999-06-11,1998-11-10,2020-05-07,2020-06-03
492,2264,DEALER ISSUING TEMP. REG. PLATE TO,DEALER ISSUING TEMP. REG. PLATE TO PERSON POSSESS-ING ANNUAL REG. PLAT,DEALER ISSUING TEMP. REG. PLATE TO PERSON POSSESS-ING ANNUAL REG. PLATE FOR SOLD & EXCHANGED VEH.,1991-07-01,1995-09-30,TA,13,607,c,,260,F,1999-06-11,1999-02-23,2020-05-07,2020-06-03
492,2263,DEALER ISSUING TEMP. REG. PLATE TO,DEALER ISSUING TEMP. REG. PLATE TO PERSON POSSESS-ING ANNUAL REG. PLAT,DEALER ISSUING TEMP. REG. PLATE TO PERSON POSSESS-ING ANNUAL REG. PLATE FOR SOLD & EXCHANGED VEH.,1995-10-01,1996-09-30,TA,13,607,c,,265,F,1999-06-11,1999-02-23,2020-05-07,2020-06-03
492,2262,DEALER ISSUING TEMP. REG. PLATE TO,DEALER ISSUING TEMP. REG. PLATE TO PERSON POSSESS-ING ANNUAL REG. PLAT,DEALER ISSUING TEMP. REG. PLATE TO PERSON POSSESS-ING ANNUAL REG. PLATE FOR SOLD & EXCHANGED VEH.,1996-10-01,2003-06-30,TA,13,607,c,,270,F,2003-10-03,1999-02-23,2020-05-07,2020-06-03
492,12945,DEALER ISSUING TEMP. REG. PLATE TO,DEALER ISSUING TEMP. REG. PLATE TO PERSON POSSESS-ING ANNUAL REG. PLAT,DEALER ISSUING TEMP. REG. PLATE TO PERSON POSSESS-ING ANNUAL REG. PLATE FOR SOLD & EXCHANGED VEH.,2003-07-01,2005-09-30,TA,13,607,c,,275,F,2005-11-18,2003-10-03,2020-05-07,2020-06-03
492,14376,DEALER ISSUING TEMP. REG. PLATE TO,DEALER ISSUING TEMP. REG. PLATE TO PERSON POSSESS-ING ANNUAL REG. PLAT,DEALER ISSUING TEMP. REG. PLATE TO PERSON POSSESS-ING ANNUAL REG. PLATE FOR SOLD & EXCHANGED VEH.,2005-10-01,2010-09-30,TA,13,607,c,,280,F,2010-09-30,2005-11-18,2020-05-07,2020-06-03
492,16678,DEALER ISSUING TEMP. REG. PLATE TO,DEALER ISSUING TEMP. REG. PLATE TO PERSON POSSESS-ING ANNUAL REG. PLAT,DEALER ISSUING TEMP. REG. PLATE TO PERSON POSSESS-ING ANNUAL REG. PLATE FOR SOLD & EXCHANGED VEH.,2010-10-01,NA,TA,13,607,c,,290,F,2010-09-30,2010-09-30,2020-05-07,2020-06-03
493,2267,DEALER LENDING TEMP. REG. PLATE TO,DEALER LENDING TEMP. REG. PLATE TO ANY PERSON,DEALER LENDING TEMP. REG. PLATE TO ANY PERSON,1991-07-01,1995-09-30,TA,13,607,d,,260,F,1999-06-11,1998-11-10,2020-05-07,2020-06-03
493,2266,DEALER LENDING TEMP. REG. PLATE TO,DEALER LENDING TEMP. REG. PLATE TO ANY PERSON,DEALER LENDING TEMP. REG. PLATE TO ANY PERSON,1995-10-01,1996-09-30,TA,13,607,d,,265,F,1999-06-11,1998-11-10,2020-05-07,2020-06-03
493,2265,DEALER LENDING TEMP. REG. PLATE TO,DEALER LENDING TEMP. REG. PLATE TO ANY PERSON,DEALER LENDING TEMP. REG. PLATE TO ANY PERSON,1996-10-01,2003-06-30,TA,13,607,d,,270,F,2003-10-03,1998-11-10,2020-05-07,2020-06-03
493,12946,DEALER LENDING TEMP. REG. PLATE TO,DEALER LENDING TEMP. REG. PLATE TO ANY PERSON,DEALER LENDING TEMP. REG. PLATE TO ANY PERSON,2003-07-01,2005-09-30,TA,13,607,d,,275,F,2005-11-18,2003-10-03,2020-05-07,2020-06-03
493,14377,DEALER LENDING TEMP. REG. PLATE TO,DEALER LENDING TEMP. REG. PLATE TO ANY PERSON,DEALER LENDING TEMP. REG. PLATE TO ANY PERSON,2005-10-01,2010-09-30,TA,13,607,d,,280,F,2010-09-30,2005-11-18,2020-05-07,2020-06-03
493,16679,DEALER LENDING TEMP. REG. PLATE TO,DEALER LENDING TEMP. REG. PLATE TO ANY PERSON,DEALER LENDING TEMP. REG. PLATE TO ANY PERSON,2010-10-01,NA,TA,13,607,d,,290,F,2010-09-30,2010-09-30,2020-05-07,2020-06-03
494,2270,DEALER USING TEMP. REG. PLATE ON VE,DEALER USING TEMP. REG. PLATE ON VEH. DEALER OWNS,DEALER USING TEMP. REG. PLATE ON VEH. DEALER OWNS,1991-07-01,1995-09-30,TA,13,607,e,,260,F,1999-06-11,1998-11-10,2020-05-07,2020-06-03
494,2269,DEALER USING TEMP. REG. PLATE ON VE,DEALER USING TEMP. REG. PLATE ON VEH. DEALER OWNS,DEALER USING TEMP. REG. PLATE ON VEH. DEALER OWNS,1995-10-01,1996-09-30,TA,13,607,e,,265,F,1999-06-11,1998-11-10,2020-05-07,2020-06-03
494,2268,DEALER USING TEMP. REG. PLATE ON VE,DEALER USING TEMP. REG. PLATE ON VEH. DEALER OWNS,DEALER USING TEMP. REG. PLATE ON VEH. DEALER OWNS,1996-10-01,2003-06-30,TA,13,607,e,,270,F,2003-10-03,1998-11-10,2020-05-07,2020-06-03
494,12947,DEALER USING TEMP. REG. PLATE ON VE,DEALER USING TEMP. REG. PLATE ON VEH. DEALER OWNS,DEALER USING TEMP. REG. PLATE ON VEH. DEALER OWNS,2003-07-01,2005-09-30,TA,13,607,e,,275,F,2005-11-18,2003-10-03,2020-05-07,2020-06-03
494,14378,DEALER USING TEMP. REG. PLATE ON VE,DEALER USING TEMP. REG. PLATE ON VEH. DEALER OWNS,DEALER USING TEMP. REG. PLATE ON VEH. DEALER OWNS,2005-10-01,2010-09-30,TA,13,607,e,,280,F,2010-09-30,2005-11-18,2020-05-07,2020-06-03
494,16680,DEALER USING TEMP. REG. PLATE ON VE,DEALER USING TEMP. REG. PLATE ON VEH. DEALER OWNS,DEALER USING TEMP. REG. PLATE ON VEH. DEALER OWNS,2010-10-01,NA,TA,13,607,e,,290,F,2010-09-30,2010-09-30,2020-05-07,2020-06-03
495,2273,DEALER ISSUING TEMP. REG. PLATE FOR,DEALER ISSUING TEMP. REG. PLATE FOR UNAUTHORIZED REASON,DEALER ISSUING TEMP. REG. PLATE FOR UNAUTHORIZED REASON,1991-07-01,1995-09-30,TA,13,607,f,,260,F,1999-06-11,1998-11-10,2020-05-07,2020-06-03
495,2272,DEALER ISSUING TEMP. REG. PLATE FOR,DEALER ISSUING TEMP. REG. PLATE FOR UNAUTHORIZED REASON,DEALER ISSUING TEMP. REG. PLATE FOR UNAUTHORIZED REASON,1995-10-01,1996-09-30,TA,13,607,f,,265,F,1999-06-11,1998-11-10,2020-05-07,2020-06-03
495,2271,DEALER ISSUING TEMP. REG. PLATE FOR,DEALER ISSUING TEMP. REG. PLATE FOR UNAUTHORIZED REASON,DEALER ISSUING TEMP. REG. PLATE FOR UNAUTHORIZED REASON,1996-10-01,2003-06-30,TA,13,607,f,,270,F,2003-10-03,1998-11-10,2020-05-07,2020-06-03
495,12948,DEALER ISSUING TEMP. REG. PLATE FOR,DEALER ISSUING TEMP. REG. PLATE FOR UNAUTHORIZED REASON,DEALER ISSUING TEMP. REG. PLATE FOR UNAUTHORIZED REASON,2003-07-01,2005-09-30,TA,13,607,f,,275,F,2005-11-18,2003-10-03,2020-05-07,2020-06-03
495,14379,DEALER ISSUING TEMP. REG. PLATE FOR,DEALER ISSUING TEMP. REG. PLATE FOR UNAUTHORIZED REASON,DEALER ISSUING TEMP. REG. PLATE FOR UNAUTHORIZED REASON,2005-10-01,2010-09-30,TA,13,607,f,,280,F,2010-09-30,2005-11-18,2020-05-07,2020-06-03
495,16681,DEALER ISSUING TEMP. REG. PLATE FOR,DEALER ISSUING TEMP. REG. PLATE FOR UNAUTHORIZED REASON,DEALER ISSUING TEMP. REG. PLATE FOR UNAUTHORIZED REASON,2010-10-01,NA,TA,13,607,f,,290,F,2010-09-30,2010-09-30,2020-05-07,2020-06-03
496,20081,FRAUD/MISREPRESENTATION APPLYING FO,FRAUD/MISREPRESENTATION APPLYING FOR/USING REG./ DISABLED PARKING PERM,FRAUD/MISREPRESENTATION APPLYING FOR/USING REG./ DISABLED PARKING PERMIT,NA,1986-07-01,TA,13,616,,,0,R,2018-06-28,2018-06-28,2020-05-07,2020-06-03
496,2274,FRAUD/MISREPRESENTATION APPLYING FO,FRAUD/MISREPRESENTATION APPLYING FOR/USING REG./ DISABLED PARKING PERM,FRAUD/MISREPRESENTATION APPLYING FOR/USING REG./ DISABLED PARKING PERMIT,1982-07-01,1986-06-30,TA,13,616,,,100,F,1999-06-11,1998-11-10,2020-05-07,2020-06-03
497,20082,"FRAUDULENT ( APPLICATION FOR, USE O","FRAUDULENT ( APPLICATION FOR, USE OF ) SPECIAL REGISTRATION FOR DISABL","FRAUDULENT ( APPLICATION FOR, USE OF ) SPECIAL REGISTRATION FOR DISABLED",NA,1989-07-01,TA,13,616,g,,0,R,2018-06-28,2018-06-28,2020-05-07,2020-06-03
497,2276,"FRAUDULENT ( APPLICATION FOR, USE O","FRAUDULENT ( APPLICATION FOR, USE OF ) SPECIAL REGISTRATION FOR DISABL","FRAUDULENT ( APPLICATION FOR, USE OF ) SPECIAL REGISTRATION FOR DISABLED",1986-07-01,1988-06-30,TA,13,616,g,,100,F,1999-06-11,1998-11-10,2020-05-07,2020-06-03
497,2275,"FRAUDULENT ( APPLICATION FOR, USE O","FRAUDULENT ( APPLICATION FOR, USE OF ) SPECIAL REGISTRATION FOR DISABL","FRAUDULENT ( APPLICATION FOR, USE OF ) SPECIAL REGISTRATION FOR DISABLED",1988-07-01,1989-06-30,TA,13,616,g,,105,F,1999-06-11,1998-11-10,2020-05-07,2020-06-03
498,20083,"(FRAUD, MISREPRESENTATION) IN (APPL","(FRAUD, MISREPRESENTATION) IN (APPLYING FOR, USING CERTIFYINGINDIV. FO","(FRAUD, MISREPRESENTATION) IN (APPLYING FOR, USING CERTIFYINGINDIV. FOR) DISABILITY REG",NA,2005-12-31,TA,13,616,h,,0,R,2018-06-28,2018-06-28,2020-05-07,2020-06-03
498,2279,"(FRAUD, MISREPRESENTATION) IN (APPL","(FRAUD, MISREPRESENTATION) IN (APPLYING FOR, USING CERTIFYINGINDIV. FO","(FRAUD, MISREPRESENTATION) IN (APPLYING FOR, USING CERTIFYINGINDIV. FOR) DISABILITY REG",1991-07-01,1995-09-30,TA,13,616,h,,110,F,2005-11-18,1998-11-10,2020-05-07,2020-06-03
498,2278,"(FRAUD, MISREPRESENTATION) IN (APPL","(FRAUD, MISREPRESENTATION) IN (APPLYING FOR, USING CERTIFYINGINDIV. FO","(FRAUD, MISREPRESENTATION) IN (APPLYING FOR, USING CERTIFYINGINDIV. FOR) DISABILITY REG",1995-10-01,1996-09-30,TA,13,616,h,,115,F,2005-11-18,1998-11-10,2020-05-07,2020-06-03
498,2277,"(FRAUD, MISREPRESENTATION) IN (APPL","(FRAUD, MISREPRESENTATION) IN (APPLYING FOR, USING CERTIFYINGINDIV. FO","(FRAUD, MISREPRESENTATION) IN (APPLYING FOR, USING CERTIFYINGINDIV. FOR) DISABILITY REG",1996-10-01,1999-09-30,TA,13,616,h,,120,F,2005-11-18,1998-11-10,2020-05-07,2020-06-03
498,14380,"(FRAUD, MISREPRESENTATION) IN (APPL","(FRAUD, MISREPRESENTATION) IN (APPLYING FOR, USING CERTIFYINGINDIV. FO","(FRAUD, MISREPRESENTATION) IN (APPLYING FOR, USING CERTIFYINGINDIV. FOR) DISABILITY REG",2006-01-01,2006-09-30,TA,13,616,h,,130,F,2006-09-26,2005-11-18,2020-05-07,2020-06-03
498,15399,"(FRAUD, MISREPRESENTATION) IN (APPL","(FRAUD, MISREPRESENTATION) IN (APPLYING FOR, USING CERTIFYINGINDIV. FO","(FRAUD, MISREPRESENTATION) IN (APPLYING FOR, USING CERTIFYINGINDIV. FOR) DISABILITY REG",2006-10-01,NA,TA,13,616,h,,140,F,2006-09-26,2006-09-26,2020-05-07,2020-06-03
499,20084,"FRAUDULENT (APPLICATION FOR, USE OF","FRAUDULENT (APPLICATION FOR, USE OF) DISABLED PERSON'S PARKING PERMIT","FRAUDULENT (APPLICATION FOR, USE OF) DISABLED PERSON'S PARKING PERMIT",NA,1989-07-01,TA,13,616,h1,,0,R,2018-06-28,2018-06-28,2020-05-07,2020-06-03
499,2281,"FRAUDULENT (APPLICATION FOR, USE OF","FRAUDULENT (APPLICATION FOR, USE OF) DISABLED PERSON'S PARKING PERMIT","FRAUDULENT (APPLICATION FOR, USE OF) DISABLED PERSON'S PARKING PERMIT",1986-07-01,1988-06-30,TA,13,616,h1,,100,F,1999-06-11,1998-11-10,2020-05-07,2020-06-03
499,2280,"FRAUDULENT (APPLICATION FOR, USE OF","FRAUDULENT (APPLICATION FOR, USE OF) DISABLED PERSON'S PARKING PERMIT","FRAUDULENT (APPLICATION FOR, USE OF) DISABLED PERSON'S PARKING PERMIT",1988-07-01,1989-06-30,TA,13,616,h1,,105,F,1999-06-11,1998-11-10,2020-05-07,2020-06-03
500,20085,OPERATING MOTOR VEH. WITH DISABLED,"OPERATING MOTOR VEH. WITH DISABLED REG. PRIVILEGES IF NOT (DISABLED, A","OPERATING MOTOR VEH. WITH DISABLED REG. PRIVILEGES IF NOT (DISABLED, ACCOMPANIED BY THE DISABLED)",NA,1989-07-01,TA,13,616,h2,,0,R,2018-06-28,2018-06-28,2020-05-07,2020-06-03
500,2283,OPERATING MOTOR VEH. WITH DISABLED,"OPERATING MOTOR VEH. WITH DISABLED REG. PRIVILEGES IF NOT (DISABLED, A","OPERATING MOTOR VEH. WITH DISABLED REG. PRIVILEGES IF NOT (DISABLED, ACCOMPANIED BY THE DISABLED)",1986-07-01,1988-06-30,TA,13,616,h2,,100,F,1999-06-11,1998-11-10,2020-05-07,2020-06-03
500,2282,OPERATING MOTOR VEH. WITH DISABLED,"OPERATING MOTOR VEH. WITH DISABLED REG. PRIVILEGES IF NOT (DISABLED, A","OPERATING MOTOR VEH. WITH DISABLED REG. PRIVILEGES IF NOT (DISABLED, ACCOMPANIED BY THE DISABLED)",1988-07-01,1989-06-30,TA,13,616,h2,,105,F,1999-06-11,1998-11-10,2020-05-07,2020-06-03
501,20086,FAIL VEH OWNER(RTN TO ADM DISABLE P,FAIL VEH OWNER(RTN TO ADM DISABLE PERSONS REG CARDPLATES)W/IN 30 DAY T,FAIL VEH OWNER(RTN TO ADM DISABLE PERSONS REG CARDPLATES)W/IN 30 DAY TERMINATION DISABLE PERSONS RTS,NA,1989-07-01,TA,13,616,h3,,0,R,2018-06-28,2018-06-28,2020-05-07,2020-06-03
501,2285,FAIL VEH OWNER(RTN TO ADM DISABLE P,FAIL VEH OWNER(RTN TO ADM DISABLE PERSONS REG CARDPLATES)W/IN 30 DAY T,FAIL VEH OWNER(RTN TO ADM DISABLE PERSONS REG CARDPLATES)W/IN 30 DAY TERMINATION DISABLE PERSONS RTS,1986-07-01,1988-06-30,TA,13,616,h3,,100,F,1999-06-11,1999-02-23,2020-05-07,2020-06-03
501,2284,FAIL VEH OWNER(RTN TO ADM DISABLE P,FAIL VEH OWNER(RTN TO ADM DISABLE PERSONS REG CARDPLATES)W/IN 30 DAY T,FAIL VEH OWNER(RTN TO ADM DISABLE PERSONS REG CARDPLATES)W/IN 30 DAY TERMINATION DISABLE PERSONS RTS,1988-07-01,1989-06-30,TA,13,616,h3,,105,F,1999-06-11,1999-02-23,2020-05-07,2020-06-03
